ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-04,KRDRVOPK2I,2020-11-12,322.5,286.40,286.45
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-05,KRDRVOPK2I,2020-11-12,322.5,291.55,290.62
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-08,KRDRVOPK2I,2020-11-12,322.5,290.70,290.77
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-09,KRDRVOPK2I,2020-11-12,322.5,290.85,291.32
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-10,KRDRVOPK2I,2020-11-12,322.5,291.50,291.90
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-11,KRDRVOPK2I,2020-11-12,322.5,285.70,288.62
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-12,KRDRVOPK2I,2020-11-12,322.5,278.40,281.78
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-15,KRDRVOPK2I,2020-11-12,322.5,265.00,267.95
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-16,KRDRVOPK2I,2020-11-12,322.5,279.80,282.59
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-17,KRDRVOPK2I,2020-11-12,322.5,281.85,283.02
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-18,KRDRVOPK2I,2020-11-12,322.5,281.65,281.91
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-19,KRDRVOPK2I,2020-11-12,322.5,282.20,283.37
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-22,KRDRVOPK2I,2020-11-12,322.5,279.90,281.42
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-23,KRDRVOPK2I,2020-11-12,322.5,281.50,281.94
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-24,KRDRVOPK2I,2020-11-12,322.5,286.00,286.70
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-25,KRDRVOPK2I,2020-11-12,322.5,277.95,279.73
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-26,KRDRVOPK2I,2020-11-12,322.5,281.65,283.38
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-29,KRDRVOPK2I,2020-11-12,322.5,278.15,278.04
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-06-30,KRDRVOPK2I,2020-11-12,322.5,280.80,280.09
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-01,KRDRVOPK2I,2020-11-12,322.5,279.85,280.26
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-02,KRDRVOPK2I,2020-11-12,322.5,283.40,283.86
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-03,KRDRVOPK2I,2020-11-12,322.5,286.50,285.89
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-06,KRDRVOPK2I,2020-11-12,322.5,290.70,290.62
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-07,KRDRVOPK2I,2020-11-12,322.5,287.50,286.77
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-08,KRDRVOPK2I,2020-11-12,322.5,286.15,285.97
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-09,KRDRVOPK2I,2020-11-12,322.5,288.00,287.25
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-10,KRDRVOPK2I,2020-11-12,322.5,284.55,285.06
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-13,KRDRVOPK2I,2020-11-12,322.5,289.80,289.84
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-14,KRDRVOPK2I,2020-11-12,322.5,289.35,289.63
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-15,KRDRVOPK2I,2020-11-12,322.5,292.55,292.27
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-16,KRDRVOPK2I,2020-11-12,322.5,289.20,289.25
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-17,KRDRVOPK2I,2020-11-12,322.5,291.85,291.57
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-20,KRDRVOPK2I,2020-11-12,322.5,290.90,290.81
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-21,KRDRVOPK2I,2020-11-12,322.5,295.05,295.16
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-22,KRDRVOPK2I,2020-11-12,322.5,294.30,294.04
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-23,KRDRVOPK2I,2020-11-12,322.5,292.00,292.37
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-24,KRDRVOPK2I,2020-11-12,322.5,290.30,290.66
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-27,KRDRVOPK2I,2020-11-12,322.5,294.05,293.51
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-28,KRDRVOPK2I,2020-11-12,322.5,299.20,300.13
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-29,KRDRVOPK2I,2020-11-12,322.5,301.20,301.25
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-30,KRDRVOPK2I,2020-11-12,322.5,301.80,301.85
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-07-31,KRDRVOPK2I,2020-11-12,322.5,299.35,299.32
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-08-03,KRDRVOPK2I,2020-11-12,322.5,299.20,299.46
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-08-04,KRDRVOPK2I,2020-11-12,322.5,303.00,303.04
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-08-05,KRDRVOPK2I,2020-11-12,322.5,306.70,306.64
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-08-06,KRDRVOPK2I,2020-11-12,322.5,311.55,311.32
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-08-07,KRDRVOPK2I,2020-11-12,322.5,312.10,312.57
201QB322,코스피200 C 202011 322.5,-,0,0,0,2020-08-10,KRDRVOPK2I,2020-11-12,322.5,316.95,316.77
