ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-14,KRDRVOPK2I,2018-01-11,320.0,318.05,317.35
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-17,KRDRVOPK2I,2018-01-11,320.0,318.85,318.52
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-18,KRDRVOPK2I,2018-01-11,320.0,319.40,318.65
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-19,KRDRVOPK2I,2018-01-11,320.0,320.05,318.91
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-20,KRDRVOPK2I,2018-01-11,320.0,320.95,320.61
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-21,KRDRVOPK2I,2018-01-11,320.0,322.45,321.79
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-24,KRDRVOPK2I,2018-01-11,320.0,322.60,322.01
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-25,KRDRVOPK2I,2018-01-11,320.0,321.00,320.15
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-26,KRDRVOPK2I,2018-01-11,320.0,320.30,319.46
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-27,KRDRVOPK2I,2018-01-11,320.0,321.20,320.51
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-28,KRDRVOPK2I,2018-01-11,320.0,313.90,314.13
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-07-31,KRDRVOPK2I,2018-01-11,320.0,314.90,314.60
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-08-01,KRDRVOPK2I,2018-01-11,320.0,317.90,317.04
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-08-02,KRDRVOPK2I,2018-01-11,320.0,318.50,317.69
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-08-03,KRDRVOPK2I,2018-01-11,320.0,313.00,312.29
201N1320,코스피200 C 201801 320.0,-,0,0,0,2017-08-04,KRDRVOPK2I,2018-01-11,320.0,314.20,313.46
201N1320,코스피200 C 201801 320.0,3.60,64,"79,692,500",64,2017-08-07,KRDRVOPK2I,2018-01-11,320.0,314.25,313.96
201N1320,코스피200 C 201801 320.0,-,0,0,64,2017-08-08,KRDRVOPK2I,2018-01-11,320.0,314.20,313.40
201N1320,코스피200 C 201801 320.0,4.05,2,"2,262,500",63,2017-08-09,KRDRVOPK2I,2018-01-11,320.0,310.00,309.52
