ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-05-15,KRDRVOPK2I,2015-11-12,257.5,261.25,261.33
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-05-18,KRDRVOPK2I,2015-11-12,257.5,261.85,261.97
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-05-19,KRDRVOPK2I,2015-11-12,257.5,263.45,262.92
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-05-20,KRDRVOPK2I,2015-11-12,257.5,265.80,265.36
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-05-21,KRDRVOPK2I,2015-11-12,257.5,262.50,262.66
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-05-22,KRDRVOPK2I,2015-11-12,257.5,265.80,266.03
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-05-26,KRDRVOPK2I,2015-11-12,257.5,265.20,265.41
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-05-27,KRDRVOPK2I,2015-11-12,257.5,259.40,260.16
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-05-28,KRDRVOPK2I,2015-11-12,257.5,260.15,260.06
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-05-29,KRDRVOPK2I,2015-11-12,257.5,261.20,260.39
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-01,KRDRVOPK2I,2015-11-12,257.5,258.60,258.74
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-02,KRDRVOPK2I,2015-11-12,257.5,256.65,256.29
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-03,KRDRVOPK2I,2015-11-12,257.5,254.40,254.11
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-04,KRDRVOPK2I,2015-11-12,257.5,254.85,255.47
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-05,KRDRVOPK2I,2015-11-12,257.5,254.75,254.94
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-08,KRDRVOPK2I,2015-11-12,257.5,254.25,254.21
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-09,KRDRVOPK2I,2015-11-12,257.5,253.95,253.51
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-10,KRDRVOPK2I,2015-11-12,257.5,252.30,252.11
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-11,KRDRVOPK2I,2015-11-12,257.5,252.70,252.32
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-12,KRDRVOPK2I,2015-11-12,257.5,251.40,251.66
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-15,KRDRVOPK2I,2015-11-12,257.5,251.15,250.74
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-16,KRDRVOPK2I,2015-11-12,257.5,248.30,248.49
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-17,KRDRVOPK2I,2015-11-12,257.5,249.50,249.08
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-18,KRDRVOPK2I,2015-11-12,257.5,249.45,249.67
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-19,KRDRVOPK2I,2015-11-12,257.5,251.00,249.84
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-22,KRDRVOPK2I,2015-11-12,257.5,252.00,250.99
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-23,KRDRVOPK2I,2015-11-12,257.5,255.50,254.52
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-24,KRDRVOPK2I,2015-11-12,257.5,254.85,254.94
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-25,KRDRVOPK2I,2015-11-12,257.5,254.70,253.80
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-26,KRDRVOPK2I,2015-11-12,257.5,254.90,254.48
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-29,KRDRVOPK2I,2015-11-12,257.5,251.70,251.26
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-06-30,KRDRVOPK2I,2015-11-12,257.5,252.25,252.27
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-01,KRDRVOPK2I,2015-11-12,257.5,255.75,255.07
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-02,KRDRVOPK2I,2015-11-12,257.5,255.75,255.50
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-03,KRDRVOPK2I,2015-11-12,257.5,255.10,254.66
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-06,KRDRVOPK2I,2015-11-12,257.5,248.50,248.30
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-07,KRDRVOPK2I,2015-11-12,257.5,249.10,248.05
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-08,KRDRVOPK2I,2015-11-12,257.5,245.55,244.94
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-09,KRDRVOPK2I,2015-11-12,257.5,247.65,246.77
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-10,KRDRVOPK2I,2015-11-12,257.5,247.75,246.83
301KB257,코스피200 P 201511 257.5,11.15,1,"5,575,000",1,2015-07-13,KRDRVOPK2I,2015-11-12,257.5,249.30,249.84
301KB257,코스피200 P 201511 257.5,-,0,0,1,2015-07-14,KRDRVOPK2I,2015-11-12,257.5,249.15,248.64
301KB257,코스피200 P 201511 257.5,10.65,1,"5,325,000",0,2015-07-15,KRDRVOPK2I,2015-11-12,257.5,249.65,249.65
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-16,KRDRVOPK2I,2015-11-12,257.5,251.50,251.47
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-17,KRDRVOPK2I,2015-11-12,257.5,249.80,250.23
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-20,KRDRVOPK2I,2015-11-12,257.5,249.20,248.91
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-21,KRDRVOPK2I,2015-11-12,257.5,249.80,250.35
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-22,KRDRVOPK2I,2015-11-12,257.5,247.60,247.88
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-23,KRDRVOPK2I,2015-11-12,257.5,247.45,247.31
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-24,KRDRVOPK2I,2015-11-12,257.5,244.65,244.91
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-27,KRDRVOPK2I,2015-11-12,257.5,245.40,244.98
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-28,KRDRVOPK2I,2015-11-12,257.5,245.50,245.21
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-29,KRDRVOPK2I,2015-11-12,257.5,246.75,245.97
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-30,KRDRVOPK2I,2015-11-12,257.5,244.45,243.61
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-07-31,KRDRVOPK2I,2015-11-12,257.5,243.40,244.30
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-08-03,KRDRVOPK2I,2015-11-12,257.5,242.25,241.48
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-08-04,KRDRVOPK2I,2015-11-12,257.5,243.20,243.55
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-08-05,KRDRVOPK2I,2015-11-12,257.5,243.70,243.12
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-08-06,KRDRVOPK2I,2015-11-12,257.5,240.20,240.04
301KB257,코스피200 P 201511 257.5,-,0,0,0,2015-08-07,KRDRVOPK2I,2015-11-12,257.5,239.80,239.79
