ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301SB227,코스피200 P 202211 227.5,-,0,0,0,2022-08-12,KRDRVOPK2I,2022-11-10,227.5,330.70,330.67
301SB227,코스피200 P 202211 227.5,-,0,0,0,2022-08-16,KRDRVOPK2I,2022-11-10,227.5,332.05,331.78
301SB227,코스피200 P 202211 227.5,-,0,0,0,2022-08-17,KRDRVOPK2I,2022-11-10,227.5,329.80,329.91
301SB227,코스피200 P 202211 227.5,-,0,0,0,2022-08-18,KRDRVOPK2I,2022-11-10,227.5,328.35,328.80
301SB227,코스피200 P 202211 227.5,-,0,0,0,2022-08-19,KRDRVOPK2I,2022-11-10,227.5,326.80,326.79
301SB227,코스피200 P 202211 227.5,0.14,9,"320,000",9,2022-08-22,KRDRVOPK2I,2022-11-10,227.5,322.20,322.77
301SB227,코스피200 P 202211 227.5,0.18,1,"45,000",9,2022-08-23,KRDRVOPK2I,2022-11-10,227.5,318.15,318.69
301SB227,코스피200 P 202211 227.5,-,0,0,9,2022-08-24,KRDRVOPK2I,2022-11-10,227.5,319.60,319.86
301SB227,코스피200 P 202211 227.5,-,0,0,9,2022-08-25,KRDRVOPK2I,2022-11-10,227.5,323.85,323.63
301SB227,코스피200 P 202211 227.5,-,0,0,9,2022-08-26,KRDRVOPK2I,2022-11-10,227.5,324.50,323.91
301SB227,코스피200 P 202211 227.5,-,0,0,9,2022-08-29,KRDRVOPK2I,2022-11-10,227.5,315.70,316.35
301SB227,코스피200 P 202211 227.5,-,0,0,9,2022-08-30,KRDRVOPK2I,2022-11-10,227.5,319.45,319.49
301SB227,코스피200 P 202211 227.5,0.13,1,"32,500",10,2022-08-31,KRDRVOPK2I,2022-11-10,227.5,321.00,322.96
301SB227,코스피200 P 202211 227.5,-,0,0,10,2022-09-01,KRDRVOPK2I,2022-11-10,227.5,314.50,315.02
301SB227,코스피200 P 202211 227.5,0.19,2,"97,500",11,2022-09-02,KRDRVOPK2I,2022-11-10,227.5,313.85,312.92
301SB227,코스피200 P 202211 227.5,-,0,0,11,2022-09-05,KRDRVOPK2I,2022-11-10,227.5,312.10,312.47
