ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-15,KRDRVOPK2I,2016-10-13,257.5,249.45,248.53
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-18,KRDRVOPK2I,2016-10-13,257.5,248.35,248.00
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-19,KRDRVOPK2I,2016-10-13,257.5,248.90,247.88
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-20,KRDRVOPK2I,2016-10-13,257.5,247.95,247.26
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-21,KRDRVOPK2I,2016-10-13,257.5,249.90,249.39
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-22,KRDRVOPK2I,2016-10-13,257.5,248.70,248.32
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-25,KRDRVOPK2I,2016-10-13,257.5,248.50,248.13
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-26,KRDRVOPK2I,2016-10-13,257.5,249.20,248.92
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-27,KRDRVOPK2I,2016-10-13,257.5,249.15,248.69
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-28,KRDRVOPK2I,2016-10-13,257.5,246.45,246.27
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-04-29,KRDRVOPK2I,2016-10-13,257.5,245.35,245.20
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-02,KRDRVOPK2I,2016-10-13,257.5,244.25,243.47
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-03,KRDRVOPK2I,2016-10-13,257.5,244.45,244.29
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-04,KRDRVOPK2I,2016-10-13,257.5,243.35,243.31
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-09,KRDRVOPK2I,2016-10-13,257.5,242.55,242.23
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-10,KRDRVOPK2I,2016-10-13,257.5,243.80,243.68
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-11,KRDRVOPK2I,2016-10-13,257.5,242.80,243.07
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-12,KRDRVOPK2I,2016-10-13,257.5,242.90,242.34
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-13,KRDRVOPK2I,2016-10-13,257.5,240.40,240.60
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-16,KRDRVOPK2I,2016-10-13,257.5,241.20,240.82
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-17,KRDRVOPK2I,2016-10-13,257.5,241.25,241.03
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-18,KRDRVOPK2I,2016-10-13,257.5,239.30,239.82
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-19,KRDRVOPK2I,2016-10-13,257.5,238.90,239.04
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-20,KRDRVOPK2I,2016-10-13,257.5,239.05,238.74
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-23,KRDRVOPK2I,2016-10-13,257.5,239.75,239.85
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-24,KRDRVOPK2I,2016-10-13,257.5,238.10,237.65
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-25,KRDRVOPK2I,2016-10-13,257.5,241.30,240.91
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-26,KRDRVOPK2I,2016-10-13,257.5,241.20,240.58
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-27,KRDRVOPK2I,2016-10-13,257.5,242.15,241.85
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-30,KRDRVOPK2I,2016-10-13,257.5,241.75,241.73
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-05-31,KRDRVOPK2I,2016-10-13,257.5,243.35,243.63
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-01,KRDRVOPK2I,2016-10-13,257.5,243.70,243.58
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-02,KRDRVOPK2I,2016-10-13,257.5,244.20,244.18
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-03,KRDRVOPK2I,2016-10-13,257.5,244.60,244.39
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-07,KRDRVOPK2I,2016-10-13,257.5,247.90,247.85
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-08,KRDRVOPK2I,2016-10-13,257.5,249.85,250.04
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-09,KRDRVOPK2I,2016-10-13,257.5,249.50,250.19
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-10,KRDRVOPK2I,2016-10-13,257.5,250.30,248.96
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-13,KRDRVOPK2I,2016-10-13,257.5,244.75,244.05
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-14,KRDRVOPK2I,2016-10-13,257.5,244.05,243.35
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-15,KRDRVOPK2I,2016-10-13,257.5,244.15,243.30
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-16,KRDRVOPK2I,2016-10-13,257.5,242.05,241.61
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-17,KRDRVOPK2I,2016-10-13,257.5,242.75,241.63
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-20,KRDRVOPK2I,2016-10-13,257.5,245.70,245.17
301LA257,코스피200 P 201610 257.5,-,0,0,0,2016-06-21,KRDRVOPK2I,2016-10-13,257.5,245.75,245.34
