ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-12,KRDRVOPK2I,2022-11-10,312.5,330.70,330.67
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-16,KRDRVOPK2I,2022-11-10,312.5,332.05,331.78
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-17,KRDRVOPK2I,2022-11-10,312.5,329.80,329.91
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-18,KRDRVOPK2I,2022-11-10,312.5,328.35,328.80
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-19,KRDRVOPK2I,2022-11-10,312.5,326.80,326.79
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-22,KRDRVOPK2I,2022-11-10,312.5,322.20,322.77
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-23,KRDRVOPK2I,2022-11-10,312.5,318.15,318.69
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-24,KRDRVOPK2I,2022-11-10,312.5,319.60,319.86
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-25,KRDRVOPK2I,2022-11-10,312.5,323.85,323.63
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-26,KRDRVOPK2I,2022-11-10,312.5,324.50,323.91
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-29,KRDRVOPK2I,2022-11-10,312.5,315.70,316.35
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-30,KRDRVOPK2I,2022-11-10,312.5,319.45,319.49
201SB312,코스피200 C 202211 312.5,-,0,0,0,2022-08-31,KRDRVOPK2I,2022-11-10,312.5,321.00,322.96
201SB312,코스피200 C 202211 312.5,11.05,5,"14,200,000",5,2022-09-01,KRDRVOPK2I,2022-11-10,312.5,314.50,315.02
