ISU_SRT_CD,ISU_NM,TDD_CLSPRC,ACC_TRDVOL,ACC_TRDVAL,ACC_OPNINT_QTY,TARGET_DATE,PRODUCT_ID,EXPIRATION_DATE,EXERCISE_PRICE,FUTURE_PRICE,SPOT_PRICE
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-01,KRDRVOPK2I,2015-12-10,270.0,265.35,265.27
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-02,KRDRVOPK2I,2015-12-10,270.0,262.95,262.61
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-03,KRDRVOPK2I,2015-12-10,270.0,262.50,262.27
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-04,KRDRVOPK2I,2015-12-10,270.0,262.60,263.19
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-05,KRDRVOPK2I,2015-12-10,270.0,261.90,262.09
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-11,KRDRVOPK2I,2015-12-10,270.0,261.00,259.80
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-12,KRDRVOPK2I,2015-12-10,270.0,262.80,261.39
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-15,KRDRVOPK2I,2015-12-10,270.0,262.25,260.56
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-16,KRDRVOPK2I,2015-12-10,270.0,262.55,261.45
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-17,KRDRVOPK2I,2015-12-10,270.0,265.45,264.01
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-18,KRDRVOPK2I,2015-12-10,270.0,264.10,261.72
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-19,KRDRVOPK2I,2015-12-10,270.0,264.60,262.31
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-22,KRDRVOPK2I,2015-12-10,270.0,261.10,260.15
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-23,KRDRVOPK2I,2015-12-10,270.0,260.50,258.49
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-24,KRDRVOPK2I,2015-12-10,270.0,260.50,258.88
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-25,KRDRVOPK2I,2015-12-10,270.0,260.15,258.46
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-26,KRDRVOPK2I,2015-12-10,270.0,259.45,258.33
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-29,KRDRVOPK2I,2015-12-10,270.0,258.50,257.95
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-09-30,KRDRVOPK2I,2015-12-10,270.0,257.00,256.77
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-10-01,KRDRVOPK2I,2015-12-10,270.0,254.40,252.81
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-10-02,KRDRVOPK2I,2015-12-10,270.0,250.90,250.06
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-10-06,KRDRVOPK2I,2015-12-10,270.0,250.85,249.19
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-10-07,KRDRVOPK2I,2015-12-10,270.0,250.80,249.93
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-10-08,KRDRVOPK2I,2015-12-10,270.0,250.30,248.36
201KC270,코스피200 C 201512 270.0,-,0,0,0,2014-10-10,KRDRVOPK2I,2015-12-10,270.0,245.60,245.06
